岗位名称,公司名称,薪资范围,工作城市,经验要求,学历要求,公司性质,公司规模,公司行业,公司标签,职位描述
BA,软通动力信息技术(集团)股份有限公司,1.2-2.2万,深圳·龙岗·坂田,3-5年,本科,上市公司,10000人以上,软件/IT服务,最佳雇主,职位描述 岗位一 1、热爱ToB产品，具备良好的文案写作基础 2、学习主动性强，能自主探索快速了解产品生态 3、熟悉需求调研方法，较强的业务流程及业务模型分析设计能力，能快速把握需求的核心要点，具备识别业务场景需求分析能力； 4、熟悉使用Axure RP、Visio、数据分析等作业工具完成产品原型，用户界面设计，独立撰写高质量产品需求文档； 5、有较强的执行能力，逻辑思维能力，沟通能力，团队协作能力，适应能力 海思芯片研发项目 早九晚六弹性工作制，周未双休，入职即缴纳五险一金 职位福利：五险一金、带薪年假、免费班车、弹性工作时间、大牛带队、定期体检
AI 应用开发高级工程师,奇宏电子(深圳)有限公司,1.5-1.8万,深圳·宝安·沙井,3-5年,本科,外商独资,1000-9999人,金属制品/机加工,,职位描述 岗位核心能力要求：1.掌握Dify或N8N、OPENWEBUI...(开源应用开发平台)插件独立开发，可基于业务需求定制功能模块，具备源码二开的能力2.掌握LangChain/Langraph等LLM应用高代码开发框架3.掌握垂直领域模型训练与调优，熟练使用模型调优工具Unsloth4.掌握基础大模型与深度学习框架（PyTorch 与 TensorFlow）MCP平台集成经验1，能独立完成MCP系统部署与配置，实现与Dify、智能体平台的无缝对接2，熟悉MCP的数据管道设计，支持实时数据流处理AI工程化能力1，3年以上Python开发经验，掌握Vue/FastAPI/Django 等框架，并实际应用于生产项目。2，具备AI应用流程开发经验，有生成式AI、视觉项目实际落地经验（从数据清洗到模型部署）3，有制造业/工业互联网领域 AI项目经验4，有制造业LLM微调实践经验，熟悉LoRA/P-Tuning等轻量化训练技术岗位职责：负责面向制造业B端用户的技术平台产品的需求分析、产品定义、交互设计等，包括AI项目的用户需求调研、制定计划、撰写功能需求文档、设计产品原型图和流程图，以及负责项目的执行和效果评估以及后续改进工作
AI网络安全研发工程师,能信安科技,1.5-2.5万,深圳·龙岗·坂田,3-5年,硕士,股份制企业,100-299人,信息安全,,职位描述 【岗位背景】我们正在构建下一代 “AI原生网络安全运营智能体” 。该智能体不仅用于海量告警的降噪与自动化处置，还将具备自主规划攻击路径、执行自动化渗透测试的能力。我们寻找的不仅是一名程序员或安全工程师，而是能将 LLM应用、Agent架构设计与攻防实战 深度融合的复合型人才。【岗位职责】1、AI安全运营智能体开发1.1、负责基于大语言模型的安全运营Agent核心逻辑开发，利用AI实现SOC告警的自动化研判、上下文关联与误报消除。1.2、设计并实现Agent的工具调用能力，使其能够自主调用SIEM、防火墙、EDR、WAF接口完成封禁IP、隔离主机、下发漏洞修复工单等处置闭环。1.3、研发基于RAG的安全知识库问答系统，辅助初级分析师进行事件溯源分析。2、AI自动化渗透测试平台研发2.1、利用Agent架构开发自主渗透测试机器人，实现从信息收集、漏洞扫描、漏洞验证到权限维持的全流程自动化编排。2.2、研究并优化AI针对Web、API、云原生环境的攻击载荷生成策略（如WAF绕过、SQL注入变种生成），提升渗透测试的深度与广度。2.3、构建安全强化学习环境，使Agent能够根据靶机反馈动态调整攻击路径规划。3、底层算法与架构优化：3.1、负责Prompt Engineering的精细化调优及Agent长期记忆管理（Memory）模块的开发，确保智能体在多轮复杂任务中的稳定性。3.2、整合开源渗透工具及自研安全插件，开发统一、稳定的MCP协议或API接口层供Agent调用。【任职要求】1、教育背景：计算机科学、网络安全、人工智能、信息安全或相关专业硕士（211）及以上学历。2、3年以上网络安全或AI领域研发经验。3、参与过大型安全产品（如SIEM、SOAR、IDS/IPS、漏洞管理平台）或AI平台（尤其是涉及LLM应用、自动化决策）从0到1研发并落地的经验。4、深厚的网络安全功底：精通网络协议、系统安全、漏洞原理、攻防技术、安全运营流程（如事件响应、威胁狩猎）。5、扎实的AI/ML能力：深入理解机器学习、深度学习原理，有实际项目经验（如使用TensorFlow/PyTorch），熟悉NLP、异常检测、强化学习等技术在安全领域的应用。6、大语言模型经验：对LLM的原理、应用、微调、安全及伦理问题有深刻理解和实践经验。7、系统架构能力：具备设计和构建高可用、可扩展、安全的分布式系统架构的能力。8、编程能力：精通至少一门主流编程语言（如Python、Go、Java、C++）。
059155-AI产品经理,平安证券,2-3万,深圳·福田·福田街道,3-5年,硕士,股份制企业,1000-9999人,证券/期货,,职位描述 工作职责要求：1、负责AI产品从0到1落地，而不是仅限于写PRD2、识别业务中适合AI的场景（不是所有场景）3、定义AI产品能力边界4、 设计：AI交互方式（对话 / 卡片 / Agent）、用户使用路径（入口、反馈、纠错）5、工程协作：定义数据来源、定义工具能力、定义评估指标任职资格：1、硕士及以上学历、计算机/金融专业优先；2、具有3年以上相关工作经验；沟通能力/分析与解决问题的能力；3、做过数据产品 / BI / 分析系统 或 做过对话式产品（Chat / Copilot）4、有AI落地成功/失败经验5、能拆业务问题，而不仅限于写功能
后端开发工程师,深圳富溢投资咨询有限公司,1.2-2.4万,深圳·龙华·福城,5-10年,本科,港澳台公司,1000-9999人,工程施工,,"职位描述 职位概述：我们正在寻找一名精通现代化微服务架构、深度 C# 生态系统（.NET 8/10）以及 Kubernetes 的资深后端开发工程师。我们极其重视团队力量与敏捷文化，您不仅需具备扎实的高并发系统开发底子，更需具备优秀的沟通协作能力。您将在敏捷开发框架（Scrum/Kanban）下工作，跨越传统的后端职能边界，与产品、设计及前端团队深度共创。同时，我们高度推崇 AI 赋能开发，期待您能将 AI Agent 视为日常协作伙伴，以前瞻性的开发模式推动研发效能。我们期待您能以自发性的互助精神，推动团队技术氛围的提升，并交付兼具极优效能与优秀使用者体验的企业级解决方案。主要职责：1、传统后端与微服务核心开发● 运用领域驱动设计（DDD）构建高内聚、低耦合的后端微服务架构。● 设计及维护高性能的 RESTful、gRPC 及 GraphQL API。● 使用 C# 12/14 与 .NET 8/10 开发高性能、高并发的分布式系统。● 实现复杂的分布式事务模式（Saga）与事件驱动架构（EDA），确保系统在极端负载下的最终一致性与高可用性。2、云原生与基础设施自动化● 在 Kubernetes 集群中管理与扩展容器化服务，编写优化的 Helm Charts 部署清单。● 通过 GitOps (ArgoCD/Flux) 与 IaC (Terraform) 实现基础设施即代码的自动化管理。● 负责系统效能调优、内存分析（GC Tuning）及生产环境的快速故障排除。3、敏捷开发与优秀团队协作（核心要求）● 深度参与敏捷流程： 积极参与 Sprint Planning、Daily Stand-ups 及 Retrospectives。您将不只是任务的执行者，更是流程优化与技术痛点解决的推动者。● 技术领导力与代码评审： 通过高品质的 Code Review 提供建设性回馈，将其视为技术传承与团队共同成长的契机，而非单纯的纠错。● 文档化与知识共享： 主动维护且持续更新技术设计文档（Technical Design Docs），确保团队内部知识高度透明，大幅降低交接与沟通成本。● 技术辅导（Mentorship）： 主动指导初级开发人员，协助他们突破技术瓶颈，促进团队整体战力与技术视野的提升。4、AI 驱动开发与研发效能提升（全新引入）● AI 结对编程（AI Pair Programming）：深度整合 AI 辅助开发工具与 Agent（如 Cursor, GitHub Copilot 等）于日常工作流，大幅加速代码生成、架构重构、单元测试编写与 Bug 排查。● 建立 AI 协作规范：探索并建立团队内的“AI 辅助编程极优实践”，引导团队如何撰写精准的 Prompt，确保 AI 生成的代码符合团队架构规范（如 DDD）与高品质标准。我们对您的期望（团队特质与跨职能协作）：● 无缝的跨职能沟通与换位思考（深化）：与业务分析师（BA）和产品经理（PM）深度探讨：不仅是接受需求，更能以非技术语言拆解复杂的商业逻辑，确保底层数据架构精准支撑业务扩展。● 与 UI/UX 设计师紧密协作：在 API 设计初期便从“用户体验”出发，探讨如何通过精简的数据负载、分页优化或异步处理，来支持流畅的前端渲染与界面互动。● 与前端工程师及 QA 协同：推行“契约优先（Contract-First）”的 API 开发模式，及早提供 Mock 数据，并共同构建完善的自动化测试防线。● 优秀的主动性： 在遇到技术瓶颈、依赖性阻塞或进度风险时，能第一时间主动联系相关队员寻求协助或提出预警，绝不让问题“过夜”。● 自发性的互助精神： 具备强烈的团队责任感（Ownership）。在完成自身任务之余，能自发性地观察团队看板进度，主动询问并协助进度落后的同事，共同攻克团队面临的挑战。资格要求：1、5 年以上 C#/.NET 后端开发实战经验。2、具备在 10 人以上敏捷团队（Agile Team）工作的丰富经验。3、熟悉分布式系统原理、高并发数据库设计、K8s 运维与微服务效能调优。4、具备将 AI Agent / AI 编程助手转化为实质生产力杠杆的能力，有运用 AI 工具大幅缩短开发交付周期的经验。5、拥有极佳的解决问题能力、同理心与人际沟通技巧。加分项目（非必要，但能让您脱颖而出）：1、有 AI 应用程序（AI App）开发实战经验者优先： 曾参与构建底层整合大语言模型（LLMs）的产品，熟悉 AI 任务的异步处理机制、Prompt 链路（Prompt Chain）的后端封装，或具备将 AI 代理（AI Agents）功能无缝接入传统微服务的经验。2、具备向量数据库（如 Milvus, pgvector）基础概念，或有检索增强生成（RAG）架构的实作经验。3、曾担任过 Scrum Master 或技术小组长（Tech Lead）。4、在开源社区有贡献经验或经常在技术博客分享知识。"
外卡收单BD（海外支付）,武汉莫族秘科技服务有限公司,1.5-3万,深圳·南山·粤海,3-5年,大专,民营,20-99人,产业互联网平台,,职位描述 （海外实物类电商企业/游戏/社交/短剧/小说等跨境企业开拓）！！！！岗位职责1，开发全球海外电商企业，游戏，社交，短剧，实物类等出海企业客户。2，深度分析客户业务场景，定制本地支付、资金归集、汇率管理等解决方案。3，把握市场及竞品动向，制定完善的工作计划，完成月度签约户数和TPV目标。4，维护好老客户，达成粘性，挖掘更多合作机会和推荐新客户机会。任职要求1，大专以上学历，1-3年行业经验。2，熟悉实物类电商需求和业务逻辑，熟悉各类别游戏，短剧，社交平台等产品商业化逻辑。3，对跨境支付行业有基础的认知，对行业内竞品公司有大概了解。4，为人正直，具备优秀的职业道德及操守，热爱挑战，性格坚韧，思维敏捷，具备良好的应变能力、承压能力、团队协作能力和沟通能力。高额提成!!! 跨境支付领域
AI 工程师,策牛(深圳)科技发展有限公司,1-2万,深圳·宝安·新安,1-3年,本科,民营,300-499人,证券/期货,,职位描述 岗位描述：1、负责公司安全相关AI产品的功能模块设计、开发、维护和优化，构建高性能、高可用、可扩展的安全检测系统2、协同算法工程师完成安全效果预研的工程方案落地，包括前置处理、模型对接以及效果调优3、持续优化系统性能与代码质量，解决工程实践中的技术难题，确保系统稳定高效运行4、使用Golang/Python开发AI功能的后端服务，包括业务逻辑实现、对接系统组件、对接模型等任职要求:1、计算机或相关专业本科及以上学历，具备扎实的计算机基础2、精通Python或Golang，具备良好的编码能力，能够独立完成功能模块开发3、熟悉常用算法、数据结构及设计模式，具备系统设计与性能优化经验4、具备强烈的自驱力和学习能力，对技术有热情，能够主动探索和解决挑战性问题5、具备以下经验者优先(1)熟悉Docker、Kubernetes等容器化技术、对Pulsar/Redis等中间件有应用经验(2)了解机器学习、大语言模型(LLM)基本原理，具备相关开发或应用实践经验
中级测试工程师,新拓银(深圳)人工智能科技有限公司,9000-12000元,深圳·南山·粤海,3-5年,本科,民营,20-99人,产业互联网平台,,职位描述 岗位职责：1、负责web/app端的测试工作； 2、参与项目质量的测试交付，包括需求讨论，用例设计与用例执行，缺陷提交跟踪和风险反馈等，推动问题解决，确保项目的测试交付与质量保障； 3、通过测试流程、策略和工具优化，提升测试质量和效率。任职资格：1、本科及以上学历，3年以上软件测试工作经验； 2、具有较强的专业技能，熟悉数据库SQL语言，能够跟开发沟通清楚设计实现，熟练掌握常用的测试工具，熟悉java或python，有互联网大型项目测试经验者优先； 3、具备良好的沟通协调和团队协作能力，有强烈的责任心和自我驱动力、严谨的质量意识和积极主动的工作态度，能够与产品经理、项目经理和开发人员等积极沟通，主动推动问题解决。加分项：1.有AI Agent 测试及落地经验
ai测试开发工程师,四川省信达恒创科技有限责任公司,1.6-2.2万,深圳·南山·粤海,1-3年,本科,民营,20人以下,软件/IT服务,,职位描述 1 、负责AI类业务 、能力数据的生成 、标注和测试结果评估；2 、负责AI类业务的功能测试 、DFX测试 、安全 、性能等测试执行；3 、负责AI类业务的自动化脚本写作和执行；4 、负责AI类业务的体验评估执行，能够根据评估指标&方法完成业务结果 、竞品的评估；5 、负责AI类业务上线前后的用户访谈 、方案结果搜集和整理；任职要求：1 、2年及以上AI 领域测试工作经验，具备终端，APP 、网页类的AI类业务完整交付经验经验；2 、有自动化脚本写作经验，能够独立使用Python完成自动化脚本写作和运行；3 、较熟练掌握Python编程语言，能够独立完成简单测试工具交付；4 、有长期处理规模化数据处理经验优先；有computer use/phone use等agent相关数据采集&生成经验优先；5 、有了解用户研究，体验研究，具备用户访谈经验优先6 、具有良好的沟通能力 、学习能力 、分析解决问题能力，有较强的责任心 、自驱力和成长型思维。
AIoT云开发工程师（高薪+双休+前景好）,苏州虚空涡旋科技有限公司,3-6万·15薪,深圳·南山·南山,经验不限,本科,民营,10000人以上,消费电子/智能硬件,,职位描述 岗位职责1.负责 AIoT 云平台相关业务系统的设计、开发与持续优化，包括设备接入、设备管理、数据采集、指令下发及监控运维等核心功能模块。2.负责云端服务架构及接口能力建设，支撑海量终端设备的稳定接入、消息通信、数据处理与业务协同。3.参与 AIoT 平台整体技术架构设计与性能优化，持续提升系统的高可用性、可扩展性、安全性及并发处理能力。4.协同硬件、嵌入式、算法、测试及产品团队推进项目落地，完成设备与云端的联调、功能验证及业务交付。5.负责线上问题排查、系统调优及技术文档沉淀，持续提升平台研发效率与服务质量。 任职要求 1.本科及以上学历，计算机科学与技术、软件工程、通信工程、电子信息等相关专业优先。 2.具备扎实的服务端开发基础，熟悉 Java、Go、Python 等至少一种后端开发语言，能够独立完成云端服务开发工作。 3.熟悉 MQTT、HTTP、WebSocket 等常见通信协议，了解物联网设备接入、消息传输及协议适配相关技术。 4.熟悉数据库、缓存、消息队列、微服务、容器化部署等常用技术栈，具备云平台或分布式系统开发经验。 5.具备良好的沟通协调能力、问题分析与解决能力，有 AIoT、物联网平台、智能硬件或相关行业项目经验者优先。
高级财务经理,深圳市安途环球信息咨询有限公司,1.3-2.2万,深圳·福田·福田街道,3-5年,本科,港澳台公司,20-99人,咨询服务,,"职位描述 招聘职位：资深业务财务（跨境结算与合规方向）薪资范围： ￥13,000 - ￥22,000工作地点： 深圳（运营中心）【岗位核心价值】作为 GoGlobalSafe 的财务中枢，你不仅要处理基础账目，更要支撑起公司全球 Agent 支付体系的运转。你将直接管理香港及海外账户，利用金融科技工具（Airwallex/Stripe）实现高效的资金对账与全球结算，确保公司在冲刺阶段的后端稳如磐石。【你将负责的工作】全球资金与收单管理：进行多币种换汇及全球 Agent 佣金发放。管理 Stripe 等收单平台的流水对账，核对保费入账、手续费扣除及结算周期。负责深圳，香港银行账户（网银）的日常资金监控、对账及电子回单管理。业务流程与对账 (核心)：针对留学生保险的 Enroll（投保）与 Cancel（取消）进行精细化对账，建立业务系统与银行流水的“三方核对”机制。独立完成月度/季度 Agent 佣金报表，确保数千笔跨境交易无误。税务与合规支持：香港侧： 整理年度报税资料，对接香港会计师事务所完成 Audit（审计）与利得税申报。美国/澳洲： 协助核实海外保险公司的预扣税（Withholding Tax）逻辑，确保公司税务合规。深圳侧： 负责日常税务申报，搜集并归集研发/人力成本，主导政府补贴（如高新认证、港资扶持）的财务资料准备。【我们希望你具备】专业背景： 财务、会计、金融相关专业，3 年以上工作经验。工具基因： 必须有 Airwallex、Stripe、PayPal 或类似跨境支付工具的使用经验；Excel/飞书 达到函数/建模级水平跨境视野： 熟悉香港税务准则（GAAP）及基础的美国/海外商务税务常识（如 W-8BEN 表格处理等）。行业背景： 有跨境电商、保险经纪、留学中介或 Fintech 背景者优先。语言能力： 能够无障碍阅读英文银行账单、保险协议及海外平台操作界面。【加入 GoGlobalSafe，你将获得什么？】全球化金融视野的实战沉淀：你不仅是处理会计分录，更是直接深度参与 Stripe、Airwallex 等顶尖支付工具的底层业务逻辑设计。你将亲手搭建一套横跨 HK、美国、澳洲、深圳 的全球资金对账与结算体系，这种跨国财务管理经验是未来金融科技（Fintech）行业的“金通票”。从 0 到 1 的财务架构主导权：我们目前正处于快速扩张期，你不是在庞大机器里做一颗螺丝钉，而是作为财务核心成员，主导梳理并建立标准化的财务 SOP。你的每一项流程优化建议，都将直接影响公司数千名 Agent 的体验和数千万资金的流转效率。深度的政策与财税专家成长路径：你将全权对接香港及海外审计机构，并主导深圳运营中心的政府补贴申请。在这里，你将成长为一名真正懂业务、懂合规、懂境内外财税政策的复合型财务专家。扁平高效的初创氛围：拒绝冗长的会议和官僚主义，直接向创始人汇报。你的专业判断将直接影响决策。随着公司规模跨越，你作为创始阶段的财务骨干，将拥有广阔的职级晋升空间和潜在的期权/长期激励机会。地理与政策的双重红利：办公地点位于深圳核心区域，深度享受大湾区针对港资企业及相关人才的政策福利。"
大模型应用开发专家-飞书文档,字节跳动,4-8万,深圳·南山·粤海,经验不限,硕士,民营,10000人以上,产业互联网平台,最佳雇主,职位描述 岗位职责：1、基于大语言模型（LLM）设计智能助手，聚焦创作内容生产&消费场景，提升内容产出&消费的效率与质量；2、优化Prompt工程，针对不同的产品需求调优指令模板，保障模型回答的准确性与业务适配性；3、探索React Agent、Multi Agent在复杂创作/运营场景中的协作机制，实现智能决策支持；4、监控智能体长期性能，通过实验评估持续优化系统稳定性与业务效果；5、结合文档业务需求，运用LoRA/QLoRA等技术定制专用模型，通过DPO/GRPO等对齐方法提升输出质量，探索RLHF在实际场景的落地。任职要求：1、本科及以上学历，计算机相关专业，具备大语言模型应用开发经验；2、具备强责任心与团队协作能力，快速响应业务需求；3、具备优秀的数据敏感度与逻辑分析能力，能将业务问题转化为定量分析框架；4、学习能力突出，紧跟LLM技术前沿，主动探索模型在飞书文档业务上的创新应用。加分项：1、熟悉多轮对话、RAG、Agent等大模型应用模块，有内容创作场景实践经验；2、掌握LangChain等开发框架，有实际项目落地经验；3、具备LoRA/QLoRA微调或RLHF、DPO等对齐技术实践经验。
AI项目主任,励展华博展览(深圳)有限公司,8000-15000元,深圳·福田·福田街道,1-3年,本科,外商独资,100-299人,会议/展览/活动,,职位描述 岗位职责• 负责公司业务场景AI产品落地，统筹AI产品全生命周期管理，结合业务实际流程协调内外部资源、把控项目关键节点，确保AI产品与业务场景高效适配、实现闭环落地。• 推进公司内部知识管理体系的搭建与优化，负责知识库的系统性梳理、动态更新及日常维护，为内部团队及AI客服、智能问答助手提供精准、高效的知识支撑。• 负责展会行业GEO相关工作的推进实施，系统梳理业务核心需求，制定科学可行的落地方案，持续优化执行流程，助力提升展会运营效能与服务品质。• 持续追踪AIGC、Agent、多模态等前沿AI技术发展动态，深度挖掘技术与公司业务的融合场景，将前沿技术转化为可落地、可复用的产品解决方案，助力公司产品迭代与创新升级。任职要求（一）学历与专业要求• 本科及以上学历，计算机类、人工智能类、数据科学、软件工程等相关专业优先。（二）工作经验要求• 具备2年及以上AI产品管理或项目统筹相关工作经验，熟悉AI产品落地全流程者优先考虑。（三）核心能力要求• 具备优秀的跨部门沟通协调能力、项目统筹能力及问题解决能力，责任心强、团队协作意识佳，能够独立统筹各项工作，确保任务按时按质达成。（四）技术要求• 技术基础：熟练掌握Python或Java编程语言，具备扎实的技术应用能力。AI基础：掌握机器学习、深度学习基本原理，对RAG架构、Prompt Engineering（提示工程）、AI Agent等相关技术有明确认知，具备相关实践经验者优先。
ba产品经理,中软国际,面议,深圳·龙岗·坂田,3-5年,本科,上市公司,10000人以上,软件/IT服务,已上市,职位描述 岗位职责：1. 负责企业系统B端项目的BA产品管理工作。2. 设计和优化看板平台，提升项目管理和业务流程效率。3. 与项目团队紧密协作，确保项目按时交付并满足客户需求。岗位要求：1. 具备4年以上的BA产品经理工作经验。2. 熟悉企业系统B端项目，有看板平台项目经验。3. 具备出色的项目管理能力和团队协作能力。
智能硬件用户研究专家,北京三快在线科技有限公司,面议,深圳,3-5年,本科,上市公司,10000人以上,互联网生活服务(O2O),最佳雇主,职位描述 美团的使命是“帮大家吃得更好，生活更好”，公司聚焦“零售 + 科技”战略，和广大商户与各类合作伙伴一起，努力为消费者提供品质生活，推动商品零售和服务零售在需求侧和供给侧的数字化转型。2018年9月20日，美团正式在港交所挂牌上市。美团将始终坚持以客户为中心，不断加大在科技研发方面的投入，更好承担社会责任，更多创造社会价值，与广大合作伙伴一起发展共赢。岗位职责1. 负责硬件产品的用户研究，通过定性定量方法深入理解用户需求和使用场景，应用大模型输出用户调研报告。2. 设计并执行用户调研项目，包括用户访谈、问卷调查、可用性测试等。 3. 与产品、设计、研发团队紧密合作，将用户洞察转化为产品优化建议和决策支持。 4. 建立并维护用户画像、旅程地图等研究工具，推动用户研究体系化建设。 5. 使用大模型，agent进行用户痛点洞察，能基于大模型输出内容进行正确判断和决策。岗位基本需求1. 大学本科及以上学历，社会学、心理学、人机交互、统计学等相关专业优先。 2. 5年以上用户研究经验，具备硬件产品研究背景。 3. 熟练掌握用户研究方法，具备独立完成研究项目的能力。 4. 具备良好的逻辑分析能力、沟通表达能力和跨团队协作能力。 5. 有共享两轮产品用研主导经验者优先。岗位亮点1. 参与硬件产品的体验和创新探索，影响千万级用户的产品体验。 2. 与行业优秀的团队共同成长，发展空间广阔。 3. 提供具有竞争力的薪酬体系和完善的职业发展通道。 4. 工作地点覆盖北京、上海、深圳，支持灵活办公与多元文化融合。5. 良好的大模型使用环境，鼓励建立自己领域和agent的结合。
企业培训销售经理,深圳伟略达产业服务有限公司,1.5-3万,深圳·南山·粤海,3-5年,本科,民营,20-99人,咨询服务,,职位描述 伟略达WayLeader是AI时代陪跑企业战略落地的专家智库。总部在深圳，在广州、上海、成渝等地均有专业团队和专家库，为成长型企业和产业提供“赋能+AI技术+投资“。伟略达团队融合国际咨询公司经验和中国领先企业实操经验，自研权威的方法论、数据和产品，深耕科创、新消费、医药、能源等行业，融合咨询、AI Agent技术、投资、培训、人才与组织SaaS等企业和产业服务为客户提供持续增长的动力，成为客户长期发展的战略伙伴。伴随公司业务版图持续扩展，现招募培训销售经理，我们以专业产品与优质服务赋能客户成长。在这里，你将获得有竞争力的薪酬回报、完善的培训体系、广阔的市场空间，以及与行业大咖并肩作战的机会。诚邀怀揣梦想、追求卓越的销售精英加入，与我们同心同行，共赴新征程！销售经理岗位职责一、客户开发与需求挖掘1. 聚焦指定行业或区域，通过电话、拜访、行业活动等渠道，开发企业客户，建立客户资源库。2. 深入了解客户需求，诊断企业战略落地、组织管理、人才发展等痛点，精准匹配师资/顾问及相应培训或咨询产品/服务。3. 能独立完成客户的需求沟通、方案制定、报价谈判及签约，确保个人业绩目标达成。二、服务方案落地与客户维护1. 结合客户需求，协同讲师、咨询顾问等，制定个性化服务方案，清晰传递服务价值。2. 跟进项目交付进度，定期回访客户，收集服务反馈，协调内部资源解决客户使用过程中的问题，提升客户满意度。三、协同支持与资源对接1. 配合业务合伙人开展大客户攻坚、行业活动策划等工作，提供客户需求调研、竞品信息收集等支持。2. 对接内部各业务部门，传递客户精准需求，协助服务方案快速高质量落地。任职要求：1. 具有4年以上企业培训或管理咨询销售经验；2. 具备 B2B 高客单销售经验，擅长挖掘企业需求，能清晰传递公司产品及服务的差异化价值；3. 成就导向强，具有较强的客户开拓与维护能力；4. 具备强抗压能力、商务谈判能力及跨部门协同意识；5. 拥有优质的企业客户资源、行业人脉者优先。
算法工程师,深圳裕同集团,2-3万,深圳·宝安·石岩,5-10年,本科,民营,10000人以上,家具/家居/办公制造,已上市,职位描述 算法工程师岗位描述1、精通传统机器学习方法及其在制造业的适用场景，熟练掌握机器学习、深度学习、强化学习等核心算法，概率统计，优化分析等理论基础2、基于制造业业务场景进行算法和模型设计，结合实际业务场景需求对算法进行创新和改进，适应公司的高效解决方案3、与前端应用系统结合，对算法进行研发和优化，并进行工程化落地部署岗位要求：1、端到端机器学习算法落地项目经验，主导过从需求分析、算法设计、数据准备、模型训练到生产部署的全流程，精通AI技术原理，具备算法与工业场景结合的实战经验2、在制造端有多个算法落地项目经验，包括不限于市场需求预测、库存模型优化、预防性保养维护、智能质检、设备参数优化，AGV调度优化等等工业应用场景3、有工业Agent建设，能够基于大模型语言设计自主任务规划，将复杂任务规划为可执行的子任务，并制定执行策略的优先考虑
KA销售(AIGC方向),上海福芮柚科技有限公司,6000-10000元,深圳·南山·粤海,1-3年,大专,其它,20-99人,产业互联网平台,天使轮,职位描述 工作地点：深圳南山区岗位职责：1、负责公司人工智能（AIGC）短视频混剪工具的销售工作。2、开发和签约目标抖音电商客户，开拓新市场，发展新客户，增加AI产品销售范围。3、解决抖音电商客户在使用AIGC短视频混剪工具过程中遇到的问题，并保证续约。4、提升抖音电商客户AIGC短视频混剪工具的使用率，做好客户关系日常维护，并为客户提供专业的多维度数据分析报告。岗位要求：1、大专及以上学历，专业不限。2、学习能力强，具有较强的逻辑思维和分析能力。3、抗压能力强，能够适应快速变化的工作环境，性格乐观积极。4、具备良好的沟通表达和组织协调能力，目标感强，热爱销售工作，且有面销工作经验。5、有明确的个人职业发展目标，愿意在公司长期发展。6、加分项：抖音电商广告（千川）、电商SaaS产品（旺店通、聚水潭、网店管家）、AIGC短视频混剪工具（筷子科技、超级编导）、蝉妈妈、微盟、有赞等销售工作经验。我们提供：1、市场上具有竞争力的薪资：无责底薪+绩效+提成+激励。2、完善的福利：五险一金、深圳一档社保、各种假期（法定年假、带薪病假、及其他国定假期等）。3、弹性工作制：早上9点/10点上班弹性自由切换。4、丰富的职业发展：初级客户经理-中级客户经理-高级客户经理-部门主管-部门经理-部门总监。
AI产品经理-头部大厂-双休六险一金-18k以内,郑州联创优聘信息科技有限公司,1-1.4万,深圳·龙岗·坂田,1-3年,本科,民营,20-99人,人力资源,,职位描述 岗位职责1、规划和建设MSS 各业务领域的AI应用场景，落地大模型+AI Agent技术在智能电商、智能营销等领域的创新应用2、负责AI运营能力向一线推广，构建MSS AI 应用场景的运营方法，形成体系化的方法论和评价标准；3、洞察国内外电商、APP AI能力建设和运营的优秀实践，跟进大模型、智能体等关键产品技术方向并推动产品落地4、收集各个国家及各个行业线AI应用场景的需求，沉淀和跟进海内外营销服垂直领域先进AI产品，形成生态作战地图 岗位要求 1、有营销服2C/2B产品的从业经验，或者参与重大标杆项目的规划与项目方案实施； 2、理解大模型与Agent的技术趋势和产品审题，深刻理解AI与行业结合的业务场景需求与未来的融合趋势；
